key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull
1,H,1976-1980,Cadre ou profession intellectuelle superieure,11-12,Non, 11-20,Au moins deux fois par mois,Cinq a six heures,MJ,Non,Oui,6-10,51,100-200 
2,F,1986-1990,En recherche d'emploi,19-20 ,Oui,21,Au moins trois fois par an,Cinq a six heures,PJ,Oui,Non,N/A,N/A,N/A
3,H,1981-1985,Cadre ou profession intellectuelle superieure,15-16 ,Oui, 11-20,Au moins deux fois par mois,Cinq a six heures,Les deux,Oui,Oui,6-10, 16-20,50-100 
4,F,1991-1995,Etudiant,15-16 ,Oui, 11-20,Au moins une fois par semaine,Trois a quatre heures,PJ,Oui,Oui,6-10,2-3,20-50 
5,H,1986-1990,Employe,15-16 ,Oui,6-10,Au moins une fois par mois,Trois a quatre heures,Les deux,Oui,Oui,2-5,51,50-100 
6,H,1986-1990,Cadre ou profession intellectuelle superieure,15-16 ,Non,2-5,Au moins une fois par mois,Cinq a six heures,MJ,Non,Oui,1,1,20
7,H,1981-1985,Cadre ou profession intellectuelle superieure,11-12,Oui,21,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,6-10, 11-15,20-50 
8,H,1981-1985,Employe,13-14 ,Oui,21,Au moins trois fois par an,Cinq a six heures,Les deux,Non,Oui,6-10, 21-30,20-50 
9,H,1971-1975,Cadre ou profession intellectuelle superieure,13-14 ,Oui,6-10,Au moins trois fois par an,Sept heures ou plus,Les deux,Non,Oui,2-5, 16-20,20-50 
10,F,1986-1990,Etudiant,13-14 ,Non,6-10,Au moins trois fois par an,Cinq a six heures,PJ,Oui,Non,N/A,N/A,N/A
11,H,1976-1980,Cadre ou profession intellectuelle superieure,10,Non,6-10,Je ne joue plus vraiment,Trois a quatre heures,Les deux,Non,Oui,1,2-3,20
12,H,1976-1980,Travailleur independant,10,Non,21,Au moins une fois par mois,Sept heures ou plus,Les deux,Oui,Oui,16,51,100-200 
13,H,1971-1975,En recherche d'emploi,10,Oui,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Oui,Oui,16,51,200-500 
14,H,1971-1975,Travailleur independant,11-12,Non,2-5,Je ne joue plus vraiment,Trois a quatre heures,Les deux,Non,Oui,2-5,4-6,20
15,H,1981-1985,Travailleur independant,19-20 ,Oui, 11-20,Au moins deux fois par mois,Trois a quatre heures,Les deux,Oui,Oui,6-10, 16-20,20-50 
16,H,1971-1975,Cadre ou profession intellectuelle superieure,13-14 ,Oui,21,Au moins trois fois par an,Cinq a six heures,PJ,Oui,Oui,6-10, 31-50,100-200 
17,H,1966-1970,Employe,17-18 ,Non,21,Au moins une fois par mois,Sept heures ou plus,Les deux,Oui,Oui,6-10,51,100-200 
