key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull
2,H,1986-1990,Cadre +,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,21-30,200-500 
4,H,1986-1990,Employe,11-12,Oui,6-10,1/mois,5-6 h ,PJ,Non,Oui,1,1,20 
8,H,1981-1985,Employe,11-12,Non,11-20,2/mois,5-6 h ,Les 2,Non,Oui,2-5,7-10,100-200 
9,H,1976-1980,Cadre +,10,Non,21+,1/mois,3-4 h ,Les 2,Non,Oui,16+,51+,500+ 
11,H,1981-1985,Cadre +,19-20,Oui,2-5,1/an,5-6 h ,PJ,Oui,Oui,2-5,4-6,20 
13,H,1986-1990,Employe,17-18,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,21-30,50-100 
16,H,1971-1975,Cadre +,11-12,Oui,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,6-10,7-10,20-50 
17,F,1986-1990,En recherche d'emploi,19-20,Oui,21+,3/an,5-6 h ,PJ,Oui,Non,0,0,0
21,H,1986-1990,En recherche d'emploi,15-16,Oui,11-20,1/mois,5-6 h ,MJ,Oui,Oui,11-15,51+,50-100 
22,F,1986-1990,Employe,15-16,Non,11-20,3/an,5-6 h ,PJ,Oui,Non,0,0,0
23,H,1986-1990,Employe,15-16,Non,21+,3/an,5-6 h ,MJ,Oui,Oui,16+,51+,200-500 
24,H,1991-1995,Etudiant,15-16,Oui,2-5,1/mois,5-6 h ,Les 2,Non,Non,0,0,0
26,H,1986-1990,Cadre +,15-16,Oui,6-10,3/an,7 h +,Les 2,Oui,Oui,2-5,7-10,20 
28,F,1981-1985,Cadre +,15-16,Non,6-10,2/mois,3-4 h ,Les 2,Non,Oui,2-5,4-6,20-50 
29,H,1976-1980,En recherche d'emploi,15-16,Non,6-10,1/mois,3-4 h ,Les 2,Non,Oui,6-10,31-50,50-100 
30,H,1986-1990,Employe,13-14,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,20-50 
31,F,1986-1990,Cadre +,10,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,16-20,20-50 
32,H,1986-1990,Cadre +,21-22,Oui,2-5,1/an,5-6 h ,Les 2,Non,Oui,2-5,1,20 
33,H,1971-1975,Employe,11-12,Oui,21+,1/mois,5-6 h ,Les 2,Non,Oui,16+,51+,500+ 
37,H,1976-1980,Travailleur independant,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ 
38,H,1976-1980,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,31-50,50-100 
40,H,1976-1980,Cadre +,13-14,Oui,11-20,3/an,5-6 h ,Les 2,Oui,Oui,11-15,51+,200-500 
45,H,1991-1995,Profession intermediaire,15-16,Oui,11-20,3/an,3-4 h ,Les 2,Oui,Oui,2-5,21-30,50-100 
48,H,1976-1980,Employe,10,Non,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,11-15,51+,20-50 
52,F,1971-1975,Profession intermediaire,10,Non,6-10,3/an,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20 
53,H,1986-1990,Employe,15-16,Oui,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,51+,50-100 
54,H,1976-1980,Cadre +,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,11-15,11-15,50-100 
55,H,1976-1980,Cadre +,23-24,Non,6-10,3/an,5-6 h ,Les 2,Oui,Oui,11-15,31-50,200-500 
58,H,1981-1985,Etudiant,13-14,Oui,6-10,1/semaine,3-4 h ,MJ,Oui,Oui,6-10,31-50,200-500 
60,H,1991-1995,En recherche d'emploi,13-14,Non,2-5,Je ne joue plus vraiment,5-6 h ,MJ,Oui,Oui,2-5,16-20,50-100 
61,H,1991-1995,Etudiant,15-16,Oui,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,7-10,50-100 
63,H,1976-1980,Profession intermediaire,15-16,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,51+,50-100 
64,H,1986-1990,Cadre +,15-16,Non,2-5,1/mois,5-6 h ,MJ,Non,Oui,1,1,20 
65,H,1991-1995,Etudiant,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,16-20,100-200 
67,H,1991-1995,Etudiant,15-16,Non,2-5,3/an,3-4 h ,Les 2,Oui,Oui,1,2 ou 3,20 
69,H,1966-1970,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,50-100 
70,H,1966-1970,Profession intermediaire,13-14,Oui,11-20,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,11-15,20-50 
74,H,1986-1990,En recherche d'emploi,23-24,Oui,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,4-6,50-100 
