"key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull"
"2,H,1986-1990,Cadre +,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,21-30,200-500 "
"3,H,1981-1985,Cadre +,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,11-15,51+,100-200 "
"4,H,1986-1990,Employe,11-12,Oui,6-10,1/mois,5-6 h ,PJ,Non,Oui,1,1,20 "
"5,H,1976-1980,Cadre +,11-12,Non,11-20,2/mois,5-6 h ,MJ,Non,Oui,6-10,51+,100-200 "
"6,H,1986-1990,En recherche d'emploi,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,21-30,50-100 "
"7,H,1986-1990,Cadre +,13-14,Non,2-5,2/mois,1-2 h ,MJ,Oui,Oui,16+,51+,200-500 "
"9,H,1976-1980,Cadre +,10,Non,21+,1/mois,3-4 h ,Les 2,Non,Oui,16+,51+,500+ "
"10,H,1981-1985,En recherche d'emploi,19-20,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,31-50,20-50 "
"11,H,1981-1985,Cadre +,19-20,Oui,2-5,1/an,5-6 h ,PJ,Oui,Oui,2-5,4-6,20 "
"12,H,1966-1970,En recherche d'emploi,13-14,Oui,6-10,1/mois,7 h +,MJ,Non,Oui,2-5,31-50,100-200 "
"14,H,1986-1990,Employe,13-14,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"15,H,1971-1975,Employe,11-12,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,2-5,16-20,20-50 "
"17,F,1986-1990,En recherche d'emploi,19-20,Oui,21+,3/an,5-6 h ,PJ,Oui,Non,0,0,0"
"18,F,1981-1985,Cadre +,15-16,Oui,6-10,1/mois,5-6 h ,Les 2,Non,Oui,2-5,2 ou 3,20 "
"20,H,1976-1980,Travailleur independant,10,Oui,21+,2/mois,5-6 h ,MJ,Oui,Oui,16+,51+,500+ "
"21,H,1986-1990,En recherche d'emploi,15-16,Oui,11-20,1/mois,5-6 h ,MJ,Oui,Oui,11-15,51+,50-100 "
"22,F,1986-1990,Employe,15-16,Non,11-20,3/an,5-6 h ,PJ,Oui,Non,0,0,0"
"23,H,1986-1990,Employe,15-16,Non,21+,3/an,5-6 h ,MJ,Oui,Oui,16+,51+,200-500 "
"24,H,1991-1995,Etudiant,15-16,Oui,2-5,1/mois,5-6 h ,Les 2,Non,Non,0,0,0"
"25,H,1971-1975,Employe,10,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,50-100 "
